MinTemp,MaxTemp,Temp9am,Temp3pm
21.1,24.5,22.8,24
21.3,27.9,22.5,27
20,28.7,25,27.3
20.1,21.9,20.8,21.4
15.8,24.5,20.1,23.7
17.7,24.9,21.8,23
16.3,23.6,17.9,23.4
15.3,24.4,20.4,22.5
19.7,29.9,22.5,27.2
19.6,28.9,22.8,27.2
20,31.4,23.8,24.9
18.3,23.1,19.6,21.7
18.6,24.4,22.2,24.1
18.4,26.5,22.8,26.4
20.6,27.6,22.2,22.5
15,24.8,18,24.2
16.9,28.7,20.4,27.8
14.7,27.6,17.2,26.4
14.7,24.5,18.5,22.2
15.2,24.7,17.3,23.2
17.3,23.9,19.1,23.1
17.3,24.1,19.7,22.7
17.8,25.3,18.8,23.6
18.5,27.9,20.3,27.1
17.9,19,18.1,18.5
17.7,20.1,18,17.4
15.5,25.9,19.9,25.6
15.8,24.9,19.9,20.2
15.1,23,20,21.2
14.2,22.3,18.3,21
15.3,22.2,18.6,21.2
14.7,22.4,16.8,21.7
15.6,22.7,17.5,20.4
14.8,23.5,18.7,21.4
14.8,22.2,19.1,22.2
14.5,22.4,18.2,20.8
15,24.2,18.6,23.2
17.7,31.7,21.6,29.2
19.9,23.7,21,21
19.7,28.6,23.7,26.1
18,22.5,19.4,20
13.6,17.2,15,17.1
14.5,17.7,14.9,14.6
14.1,17.9,16.1,17.2
14.3,23.8,16.4,23.1
15,25.1,17.3,23.9
14.4,25.9,17.2,22.5
12.7,17.1,13.8,16.2
12.5,20.9,15.3,20.7
10.3,20.9,14,20.1
10.6,18.9,14,17.5
14,20.9,16,20.4
14.1,21.7,16.7,19.8
16.6,23,21.7,19
18.9,20.9,19,20.8
17.3,21.8,18.3,21.6
14.7,27.5,19,27
13.4,21,15.3,20.4
11.5,20.3,15.1,19.8
11.1,21,13.8,20.5
11.4,21,14.5,20.7
11.3,21.2,15.4,20.8
15.4,21.9,16.8,21.1
12.2,22.5,16.2,21.9
13.2,17.3,13.9,16.4
7.9,19.3,11.3,18.4
10.2,20,14.2,17.8
13,20.8,15.1,19.6
11.1,20.5,13,18.4
11.5,19.3,13.8,18.2
13.8,21.5,16.9,20.9
16.2,25.4,17.4,21.6
14.5,21.8,16.5,19.2
13,17.7,15.2,16.9
10.2,19,11.8,17.9
8.3,20.3,10.1,18.9
9.4,19.5,11.4,18.2
8.5,19,10.4,17.9
10.4,21.6,13.1,20.5
11.7,21,13.6,20.3
13.6,19.2,17.3,18.7
11.1,18.3,13.1,17
11.5,15,12.1,14.5
10.1,15.9,13.4,14.8
6.1,16.6,9.5,15.6
6.1,18.4,8.8,15.6
7.4,19,8.9,17.5
8.9,17.7,10.2,16.8
10.1,21,11.9,20.6
9.3,22.6,10.8,21.3
10.8,22.9,14.8,22.5
13.6,22.6,17.1,21.9
12.8,14.6,12.9,14.2
11.7,16.1,13.3,15.9
12.6,19.4,13.5,19.2
13.1,19.7,13.8,19
9.5,19.9,11.2,18.6
10.9,16.9,12.9,16.4
12.9,17.9,16.5,15.8
14.7,17.6,16,16.4
11.4,17.4,13.5,15.8
9.6,14.5,9.9,12.5
8.3,16.6,9.8,14.1
8.5,14.1,9.1,13.7
8,19.2,9.3,17.5
8,20.3,10.2,18.7
10.2,21.3,13.2,20
12.7,19.4,15.2,17.6
10.1,19.2,11.7,18.7
8.3,19.4,9.7,19
7.4,19.6,9.3,18.5
9.3,19.5,11,17.8
9,19.1,10.7,17.9
10.7,17.5,12,17.4
7,16.4,8.4,16.1
6.2,16.2,8.1,15.9
5.8,16.1,7.6,15.5
6,18.6,7.7,16.6
6,17.3,8.6,17.1
7.8,14.7,11.2,11.8
7.9,16.5,8.4,13.7
6.6,17.6,8.3,16.4
7.3,16.9,9.4,16
6.6,19.9,7.2,19.2
7.1,15.1,9.8,13.1
8.1,16.9,8.6,16.5
8.6,17.6,11.5,17.6
6.2,16.8,8.7,14.9
8.3,13.4,10.3,12.9
6.2,14.3,6.7,13.5
6.6,14.6,10.4,11.8
7.8,16.7,10.3,15.8
7.8,17.9,10,15.9
8.2,19.3,9.9,18.3
9.9,16.9,13.4,16.5
11.2,19.1,12,16.4
11.6,20,12.9,18.6
10.8,20.8,14.3,20.5
11,20.2,13.8,19.5
7.3,15.7,10.2,15.2
6.4,17.3,9.6,16.6
8.1,18.4,9.3,16.4
8.2,20.5,10.7,19.2
10.7,21,14.7,20.4
9.4,22.3,14.3,20.7
14.3,24.7,16.9,23.8
8.4,19.4,11.7,19
8.3,15.1,8.9,14.4
5,14.2,9.4,13
6.8,16.4,9.5,14.3
6.7,18.5,10,16.1
7.9,17.5,11,16.3
6.2,17.6,9.1,16.3
8.6,20.6,11.8,18.8
9.8,21,13.3,20.4
8.4,17.5,11.1,16.2
9.4,19.8,12.3,19.3
7.9,20.4,11.8,18
8.2,18.1,12.4,17
10.5,19.8,14,17.4
9.3,20.5,13.4,20.4
10.9,16.2,12.6,14.7
9,17,12.5,16.4
8.2,18.9,12.1,18.7
9.4,21,13,19.8
12.9,28.3,19.8,26.9
15.4,18.5,15.6,17.9
15.1,17.4,16.3,16.4
12.5,19.9,16.1,18.7
12.3,20.2,16.3,18.9
11.6,20.5,15.1,20.1
10.6,20.8,14.6,18.5
9,20.3,13,20.1
8.3,18.7,12.1,18.1
9.6,19.7,13.9,18.4
9,19.7,12.7,17
8,18.8,11.9,18.6
11.2,20.8,14.4,20.6
12.5,19.5,13.7,18.3
11.5,21.7,15.2,18.7
12.7,17.5,14.6,16
11.1,24.9,17.4,22.7
10,20,13.3,19.7
9.8,20.2,15.4,18.9
11.3,19.6,15.5,18.9
14,21.3,17.6,20.5
10.9,25.4,17.2,21.3
12.4,22.3,18.3,21.4
15.3,23.6,20.7,21.4
15.8,29.8,23.5,29.2
12.4,21.1,17.2,19.3
12.2,19.9,18,17.7
13.6,20,15.8,18.9
12.5,19.5,14.7,18.1
12.5,18.6,16.6,17.4
12.4,22.5,16.3,21.3
14.6,19.5,18.7,17.8
10,16.2,13.3,11.7
8.3,16.3,13,13.6
10.1,16.4,13.4,15.9
11.1,20.1,14.4,18.4
12.3,19.2,15.3,18.3
10.9,20.8,17.3,19.1
11.9,23.4,19.1,21.7
16.7,21.4,21,18.7
16.8,22.9,19.9,21.7
16.5,23,21.3,21.1
14.2,27.5,21.5,27.3
19.8,33.8,26.4,32.6
16.1,37,21.1,35.6
20.3,32.3,23.8,30.6
19.7,21.5,20.3,19
17,21.1,18.5,19.9
16.8,22.7,20.1,22
15.7,24.3,21.2,22.3
15,24.3,18.7,21.4
16.5,29.5,22.7,23.4
17.5,20.4,18.3,19.8
16.9,23.3,20.1,22.7
16.3,24,21.6,23.1
17.3,27.5,23.3,27.3
19.1,26,21.5,23
18.8,23.2,19.5,22.1
19.4,24.6,21.8,24.4
18.7,26.8,23.7,26
19.7,27.9,24.5,26.3
18.6,20.5,19.6,20.1
14.5,21.4,16.6,19.4
12.9,22.3,17.8,20.7
15.2,24.9,21.1,22.3
17.5,29.4,24.6,22.2
15.5,19.6,16.5,19.3
13.4,21.2,16.4,20.6
15.7,23,18.2,21.9
14.1,23.1,19,21.8
17.1,24.2,22.2,22.5
17.5,26.8,21.9,25.4
18.2,30.7,21.6,26.4
18.6,20,19,19.2
17.1,19.6,19.5,19.4
16,23.4,18.2,20.5
18.2,28.3,23.3,20.5
18.4,24.6,22.5,21.8
16.2,21.7,18,20.4
13.7,23.3,19.5,21.8
15.2,25.6,20.6,24.8
18.9,23.9,20,22.1
18.3,25.5,23.5,22.2
18,28.8,22.7,23.3
17.7,20.1,18.7,18.9
14.9,20.9,18.2,18.5
14.3,22.6,19.1,21.7
14.4,25.1,20.2,23.7
17.4,36.5,25.1,35.6
18.8,31.2,23.1,28.6
21.4,40.9,25.2,40.7
20.3,22.1,20.8,20.7
19,22.4,19.8,20.8
17.1,26.5,22.4,25.4
18.7,25.2,23.6,23
17.3,32.7,22.4,28.7
22.4,37.8,32.4,36
16.5,22.6,21.1,21.6
19.1,23.8,21.5,22.5
19.9,26,21.1,25.1
18.2,26.3,21.1,23.8
19,33.3,26.3,32
19.2,22.8,21,19.4
17.1,21.7,19.4,20.3
14.6,23.6,20.3,22.8
15.5,24.9,21,24.1
16.6,25.8,23,24.9
18.8,25.5,23.2,24.1
20.9,25,22.7,24.4
21.3,33.3,24.6,27.5
20.2,25.5,21.3,25
21.2,35.3,24.4,34.7
18.4,22.6,20.8,21.4
18.2,24.4,21.4,23.2
18.3,29.6,23.4,25.5
20.6,26.9,23.1,25
21.1,23.4,22.9,18.2
16.6,26.1,21.6,24.6
19,27.5,24.5,27.1
20.3,29,26.3,27.5
19.9,30.3,24.6,28.5
23.6,29.1,27.1,21.5
17.7,21.8,17.8,17.7
17.3,23,21.8,22
16.9,24.6,21.6,23.9
17.5,25.2,21.8,24.5
18.8,26.1,22.7,23.4
17.1,23,17.1,22.3
15.3,22.6,16.7,21.6
15.4,24.9,21.2,24.1
15,25.6,20.2,23.7
17.4,26.7,21.3,24.2
17.9,25.6,22.9,24.2
18,25.4,22.3,23.5
20.2,24.6,22.2,19.9
18.6,23.6,18.8,19.1
17.8,20.3,19.1,19.5
17.4,18.6,18.2,17.9
16.5,24.4,18.1,21
15.5,25.4,20.6,24.1
18.5,25.5,21.2,24.5
18.5,27.1,22.9,26.2
20.5,31.6,24.5,31.1
23.5,34,26.5,25.9
21.3,31,23.2,26.7
22.7,39.2,30.8,32.4
14.3,21.7,14.5,19.4
14.3,23.8,19.7,22.8
16,26.1,20.4,25.1
16.7,27,22.1,25.1
19.2,30.2,24.2,29.2
21.9,37.5,27.9,32.1
23.6,33.5,26.2,32.3
22.8,29.2,24.9,25.7
22.3,26,25.6,25.5
20.8,25,21.9,24.1
21.6,25.2,23.2,24.7
21.6,27.8,22.9,26.4
20.8,24.9,24,24.3
21.4,27.6,23.5,27.2
22.4,28.1,26.3,23.2
19.5,28.7,22.4,28.1
19.7,31.1,22.6,31
21.8,26.5,26,25.5
17,27.9,20.9,26.6
19.3,28.3,23.4,27.7
19.1,24.8,19.7,23.5
19.6,26.1,22,23.9
19.9,27,22.8,26.4
19.1,27.4,22.5,25.7
19,28,23,27
21,27.7,25,27.3
19.6,28.5,23.2,27.6
20.7,28.4,24.6,26.7
21.5,28.8,25.4,27.5
20.7,28.9,25.3,27.7
21.1,32.5,26.2,31.5
22.3,29.3,24.1,27.4
21.5,27.9,25.3,25.6
19.5,26,20.5,25.5
18.3,26.4,22.9,26.1
20.5,29.4,23.7,28.6
23.1,29.3,24.6,28.8
21.4,27,21.9,26.6
20.8,28.8,24.3,28
21.8,29.7,25.4,28.2
20.9,29.5,26.1,28.4
21.9,32.8,26.1,32.2
23.2,27.8,25.4,26.7
22.5,27.5,26,25.2
20.7,28.1,23.7,26.3
20.5,27.7,23,27.5
21.3,28.2,23.6,27.6
20.3,28.8,25.1,28.1
22.2,28.7,25.2,28.4
22.8,28.3,24.9,26.9
20.6,27.6,24.6,27.2
20.8,27.9,24.9,26.3
21,28.3,24.5,26.8
22.4,28.1,26.2,27
22.9,29.3,24.8,29.1
22,30.6,24,28.5
22.8,27.8,23.8,26.8
21.8,28.7,24.6,27.6
22.6,27.7,25.8,26.2
21.8,30.7,22.9,29.9
19.9,25.6,20.2,24.3
19.7,26.2,20.7,25.4
19,26.1,19.6,25.5
19.6,28.2,23.4,26.4
16.2,24.4,18.4,23.8
17.4,22,18.6,18.1
15.4,21.2,15.6,20.7
14.3,23.8,17.1,21.5
14.9,25.3,18.3,23.9
16.5,27.4,19.4,25.8
19.3,25.2,20.4,22.9
17.1,26,20,24.5
19.3,24.2,22.2,23
19.4,26,20.6,26
20.6,23.3,21.2,21.1
19,28.7,20.5,26.8
16.5,25.6,19.9,24.7
16.6,25.6,20.2,24.9
18.3,31.2,19.9,29.7
19.5,25.2,21.2,23.3
18.7,23.5,19.5,23.3
18.6,26.2,23.5,25.6
19.9,34.2,25,29.3
19.9,20.5,20.1,19.9
17.7,20.6,18.8,20.5
16,25,19.3,24
16.1,27.3,19.3,23.7
16.1,26.5,19.6,24.1
17.4,22.9,18.3,20.5
15.5,24.2,19.7,22.5
15.7,22.9,18.6,22.3
16.5,24.6,21.3,24.2
16.6,25.5,19.8,24.7
19.1,23.2,20.1,20.5
15.1,24.2,18.9,21.2
16.9,23.9,19.5,22.2
16.7,25.5,19.3,23.2
17.3,24.5,20.2,24.1
17.1,25.9,20.2,21.8
16.2,20.2,16.8,16.5
15.3,23.1,20.1,21.5
13.1,22.8,16.3,21.7
14.2,23.7,17.2,22.2
15.3,23.7,17.8,23
15.7,25.1,18.4,23.7
16,24.2,18.8,23.3
18.8,26.5,20.5,26
18.1,26.1,19.4,25.4
13.9,21.3,16.3,21.2
12.8,26.4,16,25.8
16,26.2,19.1,23.1
13.5,22.4,16.2,21.3
14,26.7,16.4,23.2
12.4,22.9,15.4,21.6
15.3,20.8,18.2,20.5
18,22.2,20.1,21.8
17.3,24.6,19.8,23.8
12.6,23.1,15.3,21.3
13.7,24.5,17.5,23.3
13.9,25.9,17.3,25.6
12.4,26.6,14.7,22.3
13.2,24.4,17.8,22.4
13.6,22.9,16.4,22.4
16.3,28.2,18.3,27.7
12.7,21.9,14.6,21.4
11.9,23.2,14.5,23
12.8,24.9,17.3,22.2
13.6,21.5,15.5,20.8
14.5,22,16,21.8
15.2,26.8,21.5,23.8
12.1,22.3,14.1,20.8
10.4,21.2,12.9,20.8
12.9,20.2,15,19.9
12.8,18.6,14,17.9
9.8,14.8,12.9,14.3
9.2,19.3,11,18.7
7.3,19.9,9.5,19.1
8.7,17.5,11,15.8
10.9,17.9,13.1,16
11.1,19.1,12.3,18.6
11.7,18.3,13.3,18.3
13.3,21.1,17,18.8
16.3,19.7,18.8,19.7
13.7,18.4,14.9,17.9
11.3,19.9,13.8,17.9
10.9,20.7,13.8,20.2
13.8,22,17.4,21.6
13.1,21.4,15.3,20.8
10.1,19.8,13.4,19.3
7.9,18.1,9.4,17.6
8.5,20.3,10.3,17.7
9.9,21.2,11.6,20.9
9.1,20.5,10.6,19.2
10.2,22.2,12.9,21.2
12.7,19.3,17.4,18.7
14.7,21.1,15.4,20.7
14.5,19.5,15.2,16.7
15,20.4,16.2,17.9
14.9,18.4,15.8,17.8
12.8,19.7,15,19.3
9.4,18.5,12.8,17.4
12.7,16.3,15.8,14.4
7.3,15.1,8.4,14.3
5.6,15.3,7.4,13.7
7.4,11.7,9.3,11
7.7,17.3,9.6,16.9
6.7,18.8,8.8,18.6
5.4,16.5,7.7,14.5
7.7,16.7,11,16.4
8.2,18.2,10.1,17.8
6.5,18.1,9.2,16.5
6.4,15.6,7.6,14.4
7.5,18.8,9.6,17.7
9.5,17.7,12.9,15.9
12.9,17.2,14.9,14.6
12.4,15.6,12.7,15.5
8.7,18,10.5,16.4
10.5,17.9,11.9,16.7
11.8,18.6,15.5,18.3
14.8,20.2,16.6,18.7
9.6,14,10.5,13.3
6.7,17,8.6,16.4
6.4,17.7,8.8,16.9
6.9,18.9,9.3,17.1
9.2,18.8,13.3,17.8
11,24.2,11.5,23.9
11.4,24.9,18,23
16.5,16.9,16.7,16.2
13.9,19.3,14.6,17.6
13.1,25.7,19.3,25.1
14.5,17.4,14.5,17
7.8,14.3,8.7,13.6
8.4,17.9,12.2,17.1
10.2,17.9,14,17.7
10.8,18.6,14.7,18.5
8.8,19.4,11.1,19
7.3,18.5,9.8,17.6
8.7,19.8,10.4,17.9
10.4,20.9,11.9,20.5
10.9,18.4,13.3,17
11.5,15.8,12.8,13.2
10.7,14.6,13.6,12.6
10.8,18.1,11.6,15.5
9.7,16.2,11.2,14.7
9.2,15.5,10.8,14.7
10.3,16.4,12.4,15.9
8.7,19.7,11,17.9
8.1,19.1,11,18.8
10.9,25.2,17.6,24.6
11.2,20.3,14,19.6
7.1,19.4,9.7,17.3
8.3,20.3,12.4,19.8
9.5,20,14.2,17.6
8.9,19.6,12,19.2
9.8,20.3,12.8,19.6
10.6,24.2,14.2,22.7
11.6,22.9,14.2,20.7
11.2,24.3,14.2,22.4
11,17.9,13.2,15.7
8.2,20.4,12.5,19.9
9.5,13.8,11.4,12.2
8.5,18.4,11.9,15.4
11.8,14.7,13.4,13.7
9,17.3,11.4,15.7
7.3,17.3,10.4,16.4
7.4,19.9,11.3,17.7
8.4,20.5,12.2,18
8.4,19.6,12.9,18.1
10.7,19.9,13.8,19.6
13.6,23.6,18.8,21.2
12.1,22.5,16.9,20.7
14.5,18,15.7,15.9
15.4,20.5,17.6,20.1
10.1,21.3,15.5,19.2
10,21.2,14.1,19
10,20.5,15,20.2
12.2,22,16,21
15.4,21.2,18.7,20.1
14.7,22.7,19.5,21.2
14.1,22.7,17.9,21.8
13,21,16.8,17.6
12.4,20.9,16.6,18.3
16,20.2,17.5,18.9
16,24.6,17.4,23.1
14.1,22.1,17.4,20.9
13.5,22.5,16.9,21.7
10.7,22.4,17.5,19.2
14.2,17.8,14.9,15.1
13.1,21.4,17.7,20.6
10,20.6,15.1,18.5
14,21.2,16,16.8
13.5,20.1,18.4,17
15.2,22,17.3,21.5
12.5,22.3,18.4,20.6
13.6,22.1,15.5,16.3
12,21.8,16.5,18.9
10.9,23.2,18.6,20.6
10.2,21.3,16.2,19.6
14.2,22.8,14.8,22.3
12.3,20.1,16.1,17.3
12.4,22.1,19.5,20.2
12.5,24.7,18.4,22.7
18.4,25.6,21.5,22.9
12.7,23.4,17.5,23
11.7,23.7,14.7,22.9
13,27.8,19.9,27.2
16,31,22.5,30.8
20.1,22.2,21,20.1
13.8,25.5,17.5,20.3
16.8,33.6,25.3,31.8
12.3,21.3,14.9,20.1
10.7,23.6,14.3,20.7
11.8,18.3,15.9,15.6
9,21.3,15.1,19.4
11.1,23.9,15.9,23
15.9,29,23.1,25.4
21.7,22.4,22.4,14.5
11.5,25.8,18.3,25.5
16.2,24.5,19.1,22.9
16.4,21.6,19,20.4
15.3,25.2,21.5,23.3
16.1,18,17,16.4
10.2,19.8,13.1,17.5
10.2,21.5,15,19.8
11.4,23.3,17.6,22.8
14.3,27,18.7,25.8
18.4,21.7,20.8,19.9
14.7,19.6,15.4,19.1
15.3,24.3,18.3,22
18.2,25.5,23,25.3
16.1,23.3,18.3,21.7
12.1,24.5,16.8,20.9
13,24.1,19.1,21.6
13.6,25.2,19.7,23.7
15.3,30.6,21,27.1
21,25.7,25.7,24.9
15.7,26,19.6,23.2
14.8,28.1,22.6,25.5
21.2,28.3,26.8,24.7
17.8,22.7,20.1,21.3
16.9,24.6,20,23.4
17.8,24.3,20.2,22.6
18.4,32.5,22.1,26.4
18.9,30.3,24.9,28
17.4,24.4,20.5,20.3
15.4,23.2,17.9,20.5
14.3,25.2,19.9,22
17.3,23.9,21.1,23.1
16.4,31.4,23,30
19.3,24.8,21.7,22.1
19.1,25.1,22.3,23.2
19.7,28.4,24.6,25.5
21,31,26.6,26.2
19.8,26.2,22.6,22.5
13.5,23.4,18.3,21.8
14.7,25.5,20.6,23.4
18.1,24.4,22.3,23.9
19.6,23.5,20.5,21.6
20.3,26.1,22.8,25.5
19.3,25.3,22.4,24.1
18.2,25.2,22.4,24.2
18.1,28.5,21.2,25.4
18.7,35.7,25.6,30.9
21,26.8,22.6,23.8
19.7,26.9,23,25.1
22.1,29.9,26.1,27.1
20.4,23.6,20.6,22.2
18.6,25.1,20.7,24.4
20.2,27.9,24.6,26.9
18.1,27.8,20.2,26.4
16.9,23.7,20.8,22.1
20,26.3,23.6,24.3
20.9,27.6,23.8,25.5
20.7,37.8,27.5,31.1
27.1,37.2,32.4,34.1
17.4,19.1,17.7,17.7
17.2,25.4,18.8,20.2
18.5,33.7,25.4,32.4
18.3,21.3,19.8,19.9
17.7,22.9,20.8,21.4
16.7,27.1,22.8,26.9
18.6,26.7,22.8,25
20.3,24.3,21.1,23
20.8,24.4,23,23.8
19.8,27.2,23.2,26.3
19.1,27.4,23.9,26.8
20.9,29.3,25.8,27.9
21.8,29.6,25.7,27.5
21.1,28.9,24.9,27.5
22.6,36.6,28.1,31.8
23.9,33.3,27.3,32.1
24.1,30,27.7,26.4
