date,make,model,year,transmission,fuel_type,mileage,region,sale_amount
2023-02-08,Audi,Q5,2018,Manual,Diesel,40459,Leinster,21000
2022-10-16,Audi,Q2,2021,Manual,Electric,3841,Connacht,24500
2023-01-17,Audi,A3,2019,Automatic,Diesel,16591,Leinster,15600
2022-12-26,Audi,A3,2018,,D,20694,Ulster,22100
2023-03-05,Audi,A1,2022,Manual,Petrol,4000,Leinster,22800
2022-11-13,Audi,A1,2018,Manual,Petrol,22908,Ulster,16100
2022-07-15,Audi,A3,2012,Semi-Auto,Petrol,82191,Leinster,9100
2022-09-18,Audi,A1,2021,Semi-Auto,P,5344,Leinster,30500
2022-12-10,Audi,Q3,2021,Manual,Petrol,4500,Ulster,35000
2023-02-07,Audi,A1,2020,Manual,Electric,16416,Leinster,16800
2023-04-19,Audi,Q3,2017,Semi-Auto,Diesel,33000,Leinster,22200
2022-05-17,Audi,A3,2019,Manual,Diesel,21671,Munster,23400
2022-10-10,Audi,Q5,2021,Semi-Auto,Electric,4391,Leinster,41500
2022-05-15,Audi,Q5,2020,Semi-Auto,Petrol,17640,Leinster,32400
2022-07-08,Audi,A4,2018,Semi-Auto,Diesel,68640,Connacht,31100
2023-03-04,Audi,A4,2022,Semi-Auto,Petrol,2700,Connacht,45500
2022-09-05,Audi,A3,2018,Manual,Petrol,33275,Munster,18800
2023-02-18,Audi,A6,2021,Auto,Electric,7200,Ulster,38500
2022-10-28,Audi,A3,2021,Automatic,Petrol,8188,Connacht,30000
2022-08-30,Audi,A5,2015,Manual,Diesel,64193,Ulster,13100
2023-04-02,Audi,A3,2020,Semi-Auto,Petrol,26190,Leinster,33100
2022-12-31,Audi,A6,2019,Auto,Diesel,-1,Leinster,26600
2022-07-05,Audi,A1,2021,Manual,Electric,921,Munster,24600
2023-03-17,Audi,Q3,2018,Semi-Auto,Diesel,54153,Connacht,24500
2022-06-18,Audi,Q3,2017,Manual,D,39496,Connacht,21700
2022-07-27,Audi,A4,2018,Manual,Diesel,-1,Ulster,17900
2023-01-25,Audi,Q3,2019,Automatic,Petrol,19632,Ulster,23000
2022-10-20,Audi,A3,2015,Manual,Petrol,54553,Leinster,16100
2023-01-24,Audi,Q5,2019,Semi-Auto,Diesel,43016,Leinster,35400
2022-06-15,Audi,Q3,2021,Semi-Auto,Electric,4195,Leinster,36000
2022-11-08,Audi,A1,2018,Manual,Diesel,71401,Munster,10200
2022-09-19,Audi,Q5,2015,Manual,Diesel,60806,Leinster,19600
2023-01-22,Audi,A4,2019,Manual,Diesel,33609,Ulster,20200
2022-10-18,Audi,A3,2019,Automatic,Diesel,37115,Ulster,24600
2023-04-21,Audi,A1,2018,Manual,Petrol,15459,Connacht,15600
2022-05-23,Audi,A4,2020,Semi-Auto,P,5751,Leinster,34100
2022-06-28,Audi,A4,2022,Semi-Auto,Electric,1100,Ulster,44100
2022-07-28,Audi,A1,2018,Manual,P,40908,Connacht,17900
2022-06-04,Audi,A1,2022,Semi-Auto,Petrol,3300,Ulster,30400
2022-12-03,Audi,Q2,2020,Manual,Electric,8609,Munster,25100
2023-04-24,Audi,Q2,2021,Semi-Auto,Diesel,1113,Ulster,33600
2022-10-27,Audi,A1,2018,Manual,Petrol,32589,Munster,16900
2022-11-07,Audi,A3,2021,Semi-Auto,Petrol,11637,Leinster,25100
2023-03-27,Audi,Q2,2021,Semi-Auto,Petrol,4149,Leinster,37800
2022-06-06,Audi,A4,2015,Automatic,P,37809,Ulster,13300
2022-07-23,Audi,Q3,2017,Manual,Diesel,48351,Leinster,22300
2022-07-03,Audi,Q3,2021,,E,1039,Leinster,40200
2022-08-21,Audi,A6,2019,Semi-Auto,Diesel,23624,Leinster,24500
2022-10-25,Audi,Q3,2018,Semi-Auto,,41324,Connacht,22900
2022-07-28,Audi,A6,2018,Semi-Auto,Diesel,56000,Leinster,21000
2023-01-30,Audi,A6,2018,Semi-Auto,Diesel,61224,Leinster,25200
2022-06-13,Audi,A3,2022,Manual,Electric,1560,Munster,31200
2023-01-25,Audi,Q2,2021,Manual,Electric,9000,Leinster,32500
2022-05-06,Audi,A1,2014,Manual,Petrol,35464,Connacht,14400
2022-08-18,Audi,Q5,2022,Semi-Auto,Petrol,2800,Munster,48100
2022-05-07,Audi,Q5,2016,Manual,Petrol,40261,Munster,18700
2022-08-14,Audi,A1,2021,Semi-Auto,Petrol,4000,Leinster,30800
2022-10-24,Audi,A1,2017,Automatic,Diesel,38327,Leinster,11400
2022-06-14,Audi,Q3,2021,Semi-Auto,Petrol,17721,Leinster,40600
2022-12-23,Audi,A3,2021,Semi-Auto,Electric,3140,Munster,34200
2022-09-13,Audi,A1,2015,Manual,Petrol,52800,Connacht,13000
2023-03-24,Audi,Q3,2015,Manual,Diesel,44277,Leinster,14200
2023-02-27,Audi,A4,2018,Semi-Auto,Diesel,30294,Connacht,27600
2023-02-20,Audi,A4,2017,Automatic,Diesel,79394,Munster,13000
2022-08-27,Audi,A1,2016,Manual,Petrol,36344,Munster,12300
2022-12-07,Audi,A5,2022,Semi-Auto,Electric,2472,Leinster,33500
2023-03-06,Audi,A5,2021,Semi-Auto,Electric,10877,Leinster,32700
2022-07-08,Audi,A5,2017,Automatic,Petrol,52838,Leinster,28700
2022-06-27,Audi,Q3,2022,Semi-Auto,D,7200,Munster,50400
2022-10-13,Audi,A3,2018,Manual,D,79907,Munster,18900
2022-12-12,Audi,Q2,2021,Automatic,Electric,1400,Munster,28400
2022-07-30,Audi,A3,2019,Manual,Petrol,16947,Munster,16800
2022-06-07,Audi,Q2,2021,Semi-Auto,Petrol,1528,Connacht,34400
2023-02-24,Audi,A6,2019,Semi-Auto,Diesel,25839,Munster,25900
2022-12-26,Audi,A3,2018,Semi-Auto,Petrol,45846,Leinster,18000
2022-09-17,Audi,A3,2017,Manual,Diesel,67468,Connacht,14400
2022-12-02,Audi,Q5,2018,Automatic,D,23650,Leinster,42200
2022-11-20,Audi,A1,2021,Manual,Petrol,4800,Munster,31200
2023-03-15,Audi,A1,2021,Automatic,,6959,Connacht,26000
2022-10-13,Audi,A3,2018,Manual,Diesel,61479,Munster,16200
2023-03-01,Audi,A1,2019,Manual,Diesel,22933,Leinster,17300
2022-07-22,Audi,A3,2018,Manual,Petrol,13031,Connacht,15600
2022-10-04,Audi,A1,2019,Manual,Petrol,20800,Leinster,17300
2022-11-24,Audi,A3,2017,,Petrol,28157,Munster,24400
2023-02-17,Audi,A1,2016,Manual,Petrol,33831,Leinster,11700
2023-01-31,Audi,A6,2021,Semi-Auto,Electric,6878,Ulster,36000
2022-07-24,Audi,A3,2021,Semi-Auto,Petrol,3712,Connacht,38900
2022-10-20,Audi,A5,2020,Semi-Auto,Petrol,18139,Munster,37200
2023-03-07,Audi,A3,2021,Manual,Petrol,6000,Leinster,25200
2022-11-16,Audi,A3,2021,,Electric,4200,Munster,27600
2022-07-09,Audi,Q2,2021,Automatic,P,2381,Connacht,37700
2023-01-06,Audi,Q2,2022,Semi-Auto,Petrol,-1,Leinster,37700
2023-04-02,Audi,A4,2018,Manual,,55885,Leinster,16000
2022-11-04,Audi,A5,2021,Semi-Auto,Petrol,12841,Leinster,32500
2023-01-26,Audi,Q2,2019,Manual,Diesel,14297,Leinster,24700
2022-05-08,Audi,A1,2019,Manual,Petrol,28800,Leinster,15800
2022-11-11,Audi,A3,2021,Automatic,Electric,4783,Leinster,29000
2022-07-07,Audi,Q5,2021,Automatic,Diesel,5500,Munster,43500
2023-03-18,Audi,A1,2017,Manual,Petrol,38080,Leinster,16400
2023-04-29,Audi,A4,2018,Manual,Diesel,30107,Munster,21700
2022-10-28,Audi,A1,2022,Semi-Auto,Petrol,3927,Leinster,36200
2022-07-28,Audi,A6,2015,Automatic,D,82874,Connacht,14700
2022-05-10,Audi,Q2,2022,Semi-Auto,Electric,3103,Leinster,48000
2022-10-15,Audi,A3,2018,Manual,Petrol,20790,Connacht,15000
2022-10-05,Audi,A4,2021,Automatic,Electric,6600,Munster,32400
2022-06-25,Audi,Q3,2020,Semi-Auto,Petrol,24666,Connacht,24000
2023-01-14,Audi,A5,2022,Semi-Auto,D,2400,Leinster,41600
2022-07-15,Audi,Q2,2021,Automatic,Petrol,5400,Leinster,51800
2022-07-07,Audi,A6,2021,Automatic,Diesel,4960,Leinster,65400
2022-05-05,Audi,A3,2021,Semi-Auto,P,6521,Connacht,34000
2022-06-14,Audi,A3,2018,Semi-Auto,Electric,22183,Munster,22700
2022-05-03,Audi,A3,2017,Semi-Auto,E,25464,Connacht,19500
2022-07-06,Audi,Q5,2016,Automatic,Diesel,32890,Munster,31100
2022-06-04,Audi,A6,2021,Automatic,Diesel,7150,Leinster,39600
2023-02-25,Audi,Q5,2019,Semi-Auto,P,23865,Connacht,46800
2022-05-05,Audi,Q5,2021,Semi-Auto,Electric,10128,Connacht,49000
2023-04-24,Audi,A3,2018,Manual,Petrol,29203,Leinster,18600
2023-02-27,Audi,A4,2021,Semi-Auto,Petrol,14038,Connacht,29200
2022-12-02,Audi,Q3,2018,Manual,Diesel,24669,Connacht,20600
2023-01-08,Audi,A6,2019,Semi-Auto,Diesel,42835,Connacht,26600
2022-11-26,Audi,A4,2019,Auto,Petrol,22396,Leinster,34600
2023-02-08,Audi,A6,2021,Automatic,Electric,2200,Leinster,43400
2023-04-28,Audi,A3,2019,Semi-Auto,Petrol,44059,Munster,29200
2023-04-12,Audi,Q5,2021,Automatic,Electric,4200,Leinster,45500
2023-03-14,Audi,A1,2017,Manual,Petrol,40756,Connacht,18400
2022-12-24,Audi,A3,2021,Semi-Auto,Electric,5199,Leinster,24000
2022-11-28,Audi,A1,2016,Manual,Petrol,25534,Leinster,11300
2022-06-02,Audi,Q2,2021,Manual,Electric,1250,Leinster,30500
2022-08-22,Audi,A3,2021,Manual,Electric,8480,Connacht,32500
2022-09-21,Audi,A4,2020,Manual,Petrol,30249,Connacht,25000
2022-05-07,Audi,A3,2017,Manual,Diesel,67342,Munster,11700
2023-04-26,Audi,A4,2014,Manual,Diesel,113239,Munster,9800
2023-03-08,Audi,A3,2022,Manual,Petrol,1978,Leinster,20400
2022-12-02,Audi,A6,2019,Automatic,Diesel,16060,Connacht,27400
2022-05-08,Audi,A4,2020,Semi-Auto,Diesel,44713,Leinster,22900
2022-09-09,Audi,Q3,2021,Semi-Auto,Electric,5500,Connacht,38400
2022-12-24,Audi,Q5,2019,Automatic,D,20446,Munster,33500
2022-08-04,Audi,A3,2021,Manual,,5500,Munster,29400
2023-02-16,Audi,Q5,2021,Automatic,Electric,989,Munster,47900
2022-06-18,Audi,A5,2016,Semi-Auto,,80902,Connacht,15600
2022-06-08,Audi,A4,2021,Manual,Petrol,1174,Connacht,28200
2022-11-18,Audi,A6,2012,Automatic,P,75900,Leinster,11700
2023-03-13,Audi,A1,2021,Manual,Petrol,1788,Leinster,24000
2022-09-22,Audi,Q5,2021,Semi-Auto,Electric,5101,Leinster,44400
2022-09-08,Audi,A3,2017,Manual,D,100000,Ulster,9800
2022-05-09,Audi,A3,2019,Semi-Auto,Petrol,26598,Connacht,18800
2022-07-15,Audi,A3,2017,Manual,Diesel,88280,Munster,11300
2023-01-10,Audi,A3,2019,Manual,P,9916,Munster,16200
2023-04-01,Audi,A6,2019,Semi-Auto,Diesel,29203,Ulster,29900
2022-10-13,Audi,Q3,2021,Automatic,Electric,7350,Ulster,39000
2022-07-24,Audi,A6,2020,Semi-Auto,Petrol,34800,Connacht,27200
2022-06-18,Audi,Q5,2021,Semi-Auto,Diesel,965,Connacht,42600
2022-09-03,Audi,A3,2018,Manual,Petrol,17104,Munster,19100
2023-01-25,Audi,A4,2021,Automatic,D,2949,Leinster,34800
2023-01-09,Audi,A4,2010,Manual,Diesel,68600,Munster,7700
2023-04-30,Audi,A6,2021,Automatic,Diesel,1200,Munster,44100
2022-08-15,Audi,Q3,2017,Manual,Diesel,60500,Leinster,21000
2022-12-10,Audi,A5,2018,Manual,Diesel,23676,Leinster,23800
2023-02-08,Audi,Q5,2021,Automatic,Petrol,7331,Munster,52500
2023-03-21,Audi,A3,2018,Automatic,Diesel,30670,Leinster,17200
2022-11-14,Audi,Q2,2022,Semi-Auto,Petrol,3150,Connacht,35800
2022-05-22,Audi,Q5,2017,Semi-Auto,Diesel,43979,Leinster,24700
2022-06-06,Audi,A1,2017,Manual,Petrol,24050,Ulster,18200
2022-09-20,Audi,A3,2017,Manual,D,62341,Leinster,10200
2022-11-11,Audi,Q3,2021,Semi-Auto,Electric,4800,Connacht,42000
2022-07-11,Audi,A3,2021,Semi-Auto,Petrol,3287,Leinster,42800
2022-11-03,Audi,Q5,2021,Automatic,Electric,2527,Munster,45600
2022-12-07,Audi,A5,2019,Semi-Auto,Diesel,49200,Ulster,29900
2022-12-22,Audi,A4,2021,Automatic,Electric,4322,Ulster,37100
2022-11-24,Audi,A1,2017,Manual,Petrol,31871,Connacht,15700
2023-01-28,Audi,A5,2017,Manual,Diesel,87616,Connacht,15100
2022-09-30,Audi,A3,2017,Manual,Diesel,27574,Leinster,16100
2023-03-28,Audi,A3,2019,Auto,Diesel,44878,Munster,18500
2022-11-04,Audi,A4,2018,Manual,Diesel,70520,Leinster,12200
2023-01-22,Audi,A5,2022,Semi-Auto,Electric,5000,Connacht,50700
2023-02-13,Audi,A5,2021,Manual,Petrol,987,Munster,43400
2022-07-25,Audi,A1,2016,Manual,Petrol,21808,Leinster,13700
